719024869 	20170101 	201701 	2017 	2017.0027 	AGR    	FARMER           	    	 	 	 	 	AGR 	 	 	CAN    	CANADA           	CAN 	 	 	    	    	    	 	 	1 	061 	061 	06 	2 	6.4   	6  	3  	6  	-2.67786272298116  	2 	Minnesota, United States                         	US 	USMN 	       	45.7326  	-93.9196 	MN       	1 	Mexico                                                	MX 	MX   	       	23        	-102     	MX       	2 	Minnesota, United States                          	US 	USMN 	       	45.7326   	-93.9196 	MN       	20180101000000 	http://www.kansas.com/news/business/article192357844.html
719024870 	20170101 	201701 	2017 	2017.0027 	AGR    	FARMER           	    	 	 	 	 	AGR 	 	 	CAN    	CANADA           	CAN 	 	 	    	    	    	 	 	1 	061 	061 	06 	2 	6.4   	18 	3  	18 	-2.67786272298116  	1 	Mexico                                           	MX 	MX   	       	23       	-102     	MX       	1 	Canada                                                	CA 	CA   	       	60        	-96      	CA       	1 	Mexico                                            	MX 	MX   	       	23        	-102     	MX       	20180101000000 	http://www.kansas.com/news/business/article192357844.html
719024871 	20170101 	201701 	2017 	2017.0027 	AGR    	FARMER           	    	 	 	 	 	AGR 	 	 	CAN    	CANADA           	CAN 	 	 	    	    	    	 	 	1 	061 	061 	06 	2 	6.4   	6  	3  	6  	-2.67786272298116  	1 	Mexico                                           	MX 	MX   	       	23       	-102     	MX       	1 	Mexico                                                	MX 	MX   	       	23        	-102     	MX       	1 	Mexico                                            	MX 	MX   	       	23        	-102     	MX       	20180101000000 	http://www.kansas.com/news/business/article192357844.html
719024872 	20170101 	201701 	2017 	2017.0027 	AGR    	FARMER           	    	 	 	 	 	AGR 	 	 	MEX    	MEXICO           	MEX 	 	 	    	    	    	 	 	1 	061 	061 	06 	2 	6.4   	6  	3  	6  	-2.67786272298116  	2 	Minnesota, United States                         	US 	USMN 	       	45.7326  	-93.9196 	MN       	2 	Minnesota, United States                              	US 	USMN 	       	45.7326   	-93.9196 	MN       	2 	Minnesota, United States                          	US 	USMN 	       	45.7326   	-93.9196 	MN       	20180101000000 	http://www.kansas.com/news/business/article192357844.html
719024873 	20170101 	201701 	2017 	2017.0027 	AGR    	FARMER           	    	 	 	 	 	AGR 	 	 	MEX    	MEXICO           	MEX 	 	 	    	    	    	 	 	1 	061 	061 	06 	2 	6.4   	24 	3  	24 	-2.67786272298116  	1 	Mexico                                           	MX 	MX   	       	23       	-102     	MX       	1 	Mexico                                                	MX 	MX   	       	23        	-102     	MX       	1 	Mexico                                            	MX 	MX   	       	23        	-102     	MX       	20180101000000 	http://www.kansas.com/news/business/article192357844.html
719024874 	20170101 	201701 	2017 	2017.0027 	USA    	UNITED STATES    	USA 	 	 	 	 	    	 	 	USAGOV 	THE WHITE HOUSE  	USA 	 	 	    	    	GOV 	 	 	1 	130 	130 	13 	3 	-4.4  	2  	1  	2  	-2.37495501979129  	3 	White House, District of Columbia, United States 	US 	USDC 	       	38.8951  	-77.0364 	531871   	3 	White House, District of Columbia, United States      	US 	USDC 	       	38.8951   	-77.0364 	531871   	3 	White House, District of Columbia, United States  	US 	USDC 	       	38.8951   	-77.0364 	531871   	20180101000000 	http://www.independent.co.uk/news/world/americas/president-donald-trump-white-house-first-year-inauguration-federal-bureaucracy-barack-obama-a8135921.html
719024875 	20171202 	201712 	2017 	2017.9096 	       	                 	    	 	 	 	 	    	 	 	USA    	MISSOURI         	USA 	 	 	    	    	    	 	 	1 	043 	043 	04 	1 	2.8   	18 	3  	18 	-2.56410256410256  	0 	                                                 	   	     	       	         	         	         	2 	Missouri, United States                               	US 	USMO 	       	38.4623   	-92.302  	MO       	1 	Mexico                                            	MX 	MX   	       	23        	-102     	MX       	20180101000000 	http://www.TucsonNewsNow.com/story/37167033/dog-missing-for-a-year-turns-up-4-states-away
719024876 	20171202 	201712 	2017 	2017.9096 	COP    	POLICE           	    	 	 	 	 	COP 	 	 	AUS    	MELBOURNE        	AUS 	 	 	    	    	    	 	 	0 	130 	130 	13 	3 	-4.4  	2  	1  	2  	-9.765625          	4 	Brunswick West, Victoria, Australia              	AS 	AS07 	5402   	-37.7833 	144.933  	-1562136 	4 	Melbourne, Victoria, Australia                        	AS 	AS07 	5430   	-37.8167  	144.967  	-1586844 	4 	Brunswick West, Victoria, Australia               	AS 	AS07 	5402   	-37.7833  	144.933  	-1562136 	20180101000000 	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
719024877 	20171202 	201712 	2017 	2017.9096 	COP    	POLICE           	    	 	 	 	 	COP 	 	 	AUS    	MELBOURNE        	AUS 	 	 	    	    	    	 	 	0 	130 	130 	13 	3 	-4.4  	5  	1  	5  	-9.765625          	4 	Melbourne, Victoria, Australia                   	AS 	AS07 	5430   	-37.8167 	144.967  	-1586844 	4 	Melbourne, Victoria, Australia                        	AS 	AS07 	5430   	-37.8167  	144.967  	-1586844 	4 	Melbourne, Victoria, Australia                    	AS 	AS07 	5430   	-37.8167  	144.967  	-1586844 	20180101000000 	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
719024878 	20171202 	201712 	2017 	2017.9096 	COP    	POLICE           	    	 	 	 	 	COP 	 	 	AUS    	MELBOURNE        	AUS 	 	 	    	    	    	 	 	0 	173 	173 	17 	4 	-5.0  	2  	1  	2  	-9.765625          	4 	Brunswick West, Victoria, Australia              	AS 	AS07 	5402   	-37.7833 	144.933  	-1562136 	4 	Melbourne, Victoria, Australia                        	AS 	AS07 	5430   	-37.8167  	144.967  	-1586844 	4 	Melbourne, Victoria, Australia                    	AS 	AS07 	5430   	-37.8167  	144.967  	-1586844 	20180101000000 	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
719024879 	20171202 	201712 	2017 	2017.9096 	COP    	POLICE           	    	 	 	 	 	COP 	 	 	AUS    	MELBOURNE        	AUS 	 	 	    	    	    	 	 	0 	173 	173 	17 	4 	-5.0  	5  	1  	5  	-9.765625          	4 	Melbourne, Victoria, Australia                   	AS 	AS07 	5430   	-37.8167 	144.967  	-1586844 	4 	Melbourne, Victoria, Australia                        	AS 	AS07 	5430   	-37.8167  	144.967  	-1586844 	4 	Melbourne, Victoria, Australia                    	AS 	AS07 	5430   	-37.8167  	144.967  	-1586844 	20180101000000 	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
